timestamp_ms,anchor,distance_m,rxPower_dBm,x_calculated_m,y_calculated_m
5512970,A3,0.790,-80.6,0.714,2.788
5512990,A1,2.930,-82.6,0.756,2.827
5513000,A2,3.460,-83.3,0.781,2.827
5513120,A3,0.780,-80.6,0.781,2.829
5513140,A1,2.900,-82.1,0.749,2.800
5513150,A2,3.440,-82.9,0.774,2.800
5513270,A3,0.750,-80.8,0.774,2.808
5513290,A1,2.900,-82.5,0.774,2.808
5513300,A2,3.460,-82.8,0.749,2.808
5513420,A3,0.760,-80.4,0.749,2.805
5513440,A1,2.910,-82.0,0.760,2.815
5513450,A2,3.460,-83.1,0.760,2.815
5513570,A3,0.780,-80.3,0.760,2.810
5513590,A1,2.920,-82.5,0.770,2.820
5513600,A2,3.450,-82.7,0.783,2.820
5513720,A3,0.760,-80.2,0.783,2.825
5513740,A1,2.930,-82.2,0.793,2.835
5514040,A1,2.920,-81.9,0.783,2.825
5514050,A2,3.440,-82.8,0.795,2.825
5514170,A3,0.750,-80.3,0.795,2.827
5514190,A1,2.920,-81.9,0.795,2.827
5514200,A2,3.460,-83.0,0.770,2.827
5514320,A3,0.770,-80.7,0.770,2.822
5514340,A1,2.930,-82.3,0.781,2.832
5514350,A2,3.430,-82.4,0.818,2.832
5514470,A3,0.810,-81.0,0.818,2.821
5514490,A1,2.920,-82.5,0.808,2.812
5514500,A2,3.450,-82.7,0.783,2.812
5514620,A3,0.760,-81.1,0.783,2.825
5514640,A1,2.920,-82.1,0.783,2.825
5514650,A2,3.440,-82.9,0.795,2.825
5514770,A3,0.740,-80.5,0.795,2.830
5514790,A1,2.940,-82.0,0.816,2.849
5514800,A2,3.430,-82.3,0.829,2.849
5515070,A3,0.780,-80.6,0.829,2.839
5515090,A1,2.930,-81.8,0.818,2.829
5515100,A2,3.460,-82.7,0.781,2.829
5515220,A3,0.800,-79.9,0.781,2.824
5515240,A1,2.950,-81.6,0.802,2.844
5515250,A2,3.450,-82.9,0.814,2.844
5515370,A3,0.760,-81.1,0.814,2.854
5515390,A1,2.930,-81.6,0.793,2.835
5515400,A2,3.490,-82.7,0.743,2.835
5515520,A3,0.760,-80.8,0.743,2.835
5515540,A1,2.920,-81.8,0.733,2.825
5515550,A2,3.430,-82.2,0.808,2.825
5515670,A3,0.790,-80.2,0.808,2.817
5515690,A1,2.910,-82.2,0.797,2.807
5515700,A2,3.480,-83.0,0.735,2.807
5515820,A3,0.770,-80.7,0.735,2.813
5515840,A1,2.930,-81.6,0.756,2.832
5515850,A2,3.440,-81.5,0.806,2.832
5515970,A3,0.770,-80.5,0.806,2.832
5515990,A1,2.920,-82.6,0.795,2.822
5516000,A2,3.450,-82.3,0.783,2.822
5516120,A3,0.750,-81.1,0.783,2.827
5516140,A1,2.890,-83.6,0.751,2.798
5516150,A2,3.440,-82.8,0.764,2.798
5516270,A3,0.780,-81.0,0.764,2.791
5516290,A1,2.910,-82.4,0.785,2.810
5516300,A2,3.430,-82.5,0.797,2.810
5516420,A3,0.810,-80.8,0.797,2.802
5516440,A1,2.890,-83.5,0.776,2.783
5516450,A2,3.430,-82.7,0.776,2.783
5516570,A3,0.790,-80.4,0.776,2.788
5516590,A1,2.920,-82.2,0.808,2.817
5516600,A2,3.450,-83.2,0.783,2.817
5516720,A3,0.800,-80.2,0.783,2.814
5516740,A1,2.930,-82.1,0.793,2.824
5516750,A2,3.460,-82.9,0.781,2.824
5516890,A1,2.920,-81.7,0.770,2.814
5516900,A2,3.450,-83.2,0.783,2.814
5517040,A1,2.940,-82.1,0.804,2.834
5517050,A2,3.460,-83.1,0.791,2.834
5517170,A3,0.770,-81.2,0.791,2.842
5517190,A1,2.930,-82.8,0.781,2.832
5517200,A2,3.450,-83.2,0.793,2.832
5517320,A3,0.770,-82.0,0.793,2.832
5517340,A1,2.920,-82.7,0.783,2.822
5517350,A2,3.420,-82.1,0.820,2.822
5517470,A3,0.760,-81.2,0.820,2.825
